title:Session_019_29Jun2026,start timestamp:1782732800.186375,stop timestamp:1782732865.302140,headset type:EPOCX,headset serial:E7020186,headset firmware:740,channels:98,sampling rate:eeg_256;pm_0.1;mot_32,samples:16680,version:2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1782732800,1782732800,163,0,4419.230957,4306.538574,4395.512695,4296.922852,4329.615234,4336.282227,4211.538574,3925.128174,5211.538574,4514.871582,4651.282227,4364.102539,4520.128418,4761.666504,2770,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,164,0,4410.512695,4306.282227,4391.666504,4288.205078,4328.717773,4335.384766,4220,3908.846191,5197.05127,4511.794922,4597.563965,4362.179688,4519.487305,4755.384766,2874,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,165,0,4393.205078,4304.871582,4379.358887,4277.436035,4324.358887,4334.102539,4229.358887,3900.128174,5182.820313,4491.538574,4518.333496,4359.102539,4501.922852,4744.743652,173,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,166,0,4368.717773,4303.461426,4357.436035,4268.205078,4318.205078,4333.846191,4240.769043,3895.641113,5169.487305,4455.384766,4461.153809,4355.641113,4484.487305,4729.615234,2192,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,167,0,4341.794922,4303.333496,4330.641113,4263.846191,4312.94873,4335.641113,4255.256348,3890,5157.563965,4413.717773,4456.282227,4352.692383,4478.589844,4711.666504,2770,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,168,0,4318.717773,4305.128418,4308.205078,4267.692383,4310.512695,4340.128418,4272.820313,3879.487061,5148.461426,4381.025879,4497.692383,4351.025879,4487.179688,4694.743652,2874,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0.25149,-0.172607,0.69635,0.649658,-0.566964,0.828592,-0.005494,-41.738518,-49.796383,-10.126499
1782732800,1782732800,169,0,4303.589844,4308.077148,4297.563965,4280.641113,4309.487305,4347.307617,4292.820313,3865.769287,5141.922852,4367.94873,4554.102539,4350.897461,4507.179688,4684.871582,173,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,170,0,4297.692383,4310.641113,4299.615234,4300.384766,4306.794922,4356.025879,4312.307617,3854.102539,5136.282227,4373.974121,4596.538574,4352.307617,4533.846191,4686.153809,2192,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,171,0,4301.410156,4311.153809,4309.743652,4321.666504,4299.487305,4365,4328.077148,3848.461426,5131.025879,4386.282227,4616.025879,4355.128418,4562.692383,4698.205078,2770,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782732800,1782732800,172,0,4313.461426,4309.102539,4321.410156,4338.205078,4287.436035,4372.307617,4338.077148,3848.846191,5128.461426,4388.589844,4618.846191,4358.333496,4587.820313,4713.461426,2874,2,45,,,,0,4,0,4,2,0,0,1,4,1,0,4,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
